subject_id,window_index,original_label,stress_label,E4_HR_value_mean,E4_HR_value_median,E4_HR_value_std,E4_HR_value_variance,E4_HR_value_min,E4_HR_value_max,E4_HR_value_range,E4_HR_value_iqr,E4_HR_value_skewness,E4_HR_value_kurtosis,E4_HR_value_rms,E4_HR_value_energy,E4_HR_value_entropy,E4_HR_value_mav,E4_HR_value_auc,E4_HR_value_slope,E4_HR_value_zero_crossing_rate,E4_HR_value_cv
S2,122,1,0,75.39863088455789,75.41470240827815,0.03533339381387445,0.0012484487184063412,75.29370232943744,75.42866403217052,0.1349617027330794,0.03308331687883026,-1.7328773693447477,2.147383613853168,75.39863916354541,113699.09575429047,2.2577174691301485,75.39863088455789,1432.636904752903,0.002531398782479825,0.0,0.0004686211592883307
S2,123,1,0,75.39121575240658,75.38037642274884,0.02079272680486343,0.00043233748798168623,75.36299656146468,75.42473581130827,0.061739249843583366,0.035055471002721106,0.3908373314406734,-1.3633130177936554,75.39121861970004,113676.71689926813,2.763865121950854,75.39121575240658,1432.4255409293128,-0.0029581288583225376,0.0,0.0002757977384679554
S2,124,1,0,75.37723936561613,75.37839612263741,0.005983155345015759,3.5798147882590646e-05,75.36299656146468,75.38495392396871,0.02195736250402547,0.005042981323057916,-1.073597538228316,0.24626797760881303,75.37723960307608,113634.5650035908,2.8219280948873626,75.37723936561613,1432.1727763614285,0.0006921187735477132,0.0,7.937615380147522e-05
S2,125,1,0,75.38311381042294,75.38230782255962,0.007529679308105733,5.6696070482915634e-05,75.37313086496611,75.4004122046701,0.027281339703989715,0.00837222180636843,0.9393481868507146,-0.06634091117510632,75.38311418647581,113652.278089025,2.7609640474436814,75.38311381042294,1432.2831124448207,0.0003760073984534059,0.0,9.988549062913122e-05
S2,126,1,0,75.38021359180183,75.37878842661152,0.009725367304775554,9.458276921279734e-05,75.3659684315882,75.4004122046701,0.03444377308190383,0.012261662578524124,0.5660312892945168,-0.5345042995920197,75.38021421917317,113643.53391456873,3.046439344671015,75.38021359180183,1432.2252134667804,-0.0006062732903413412,0.0,0.0001290175079290736
S2,127,1,0,75.42157939414543,75.3929917470594,0.052442951524571665,0.0027502631646085735,75.3659684315882,75.51637017812827,0.15040174654006933,0.10183048104175896,0.41505106656789953,-1.499230453441215,75.42159762674447,113768.34777141096,2.5577174691301483,75.42157939414543,1432.9871490600892,0.008609470579549257,0.0,0.0006953308581687237
S2,128,1,0,75.51368421513368,75.52366592441174,0.05168469588948061,0.0026713077891880937,75.40099762057241,75.57309205425797,0.1720944336855581,0.08447920532634612,-0.5210294645542021,-0.8320140049804583,75.51370190270582,114046.38350101434,2.908694969562842,75.51368421513368,1434.7887235953522,0.008680620239326862,0.0,0.0006844414549055004
S2,129,1,0,75.57667783725758,75.57104597205918,0.029956109348157123,0.0008973684872787466,75.53096167069522,75.663827504716,0.13286583402077667,0.011666093576124581,1.3676440130185636,1.871153291517837,75.57668377406559,114236.70260570216,2.55887184844536,75.57667783725758,1435.9361621574456,0.00443658334296203,0.0,0.00039636710960837506
S2,130,1,0,75.72358238688687,75.67876853053534,0.15286371913873067,0.02336731662892473,75.56800683846753,76.04215832751987,0.47415148905234616,0.25026503680453516,0.6710497769383806,-0.8701217355786257,75.72373668025286,114681.68593640543,2.821928094887362,75.72358238688687,1438.6665651547437,0.025417419125247913,0.0,0.0020187069116423925
S2,131,1,0,76.10551356572336,76.06732144534251,0.29164666008514867,0.08505777433882224,75.69370955635469,76.62716353939882,0.9334539830441315,0.49250593249684016,0.27361190485278525,-1.2075948526353435,76.1060723784695,115842.6850575368,3.221928094887362,76.10551356572336,1445.9498347665904,0.050276442037667235,0.0,0.0038321357602204187
S2,132,1,0,76.63825906711625,76.65372874405125,0.32543313079835307,0.10590672262121799,76.09248456316516,77.1641238455791,1.0716392824139405,0.5215383535959148,-0.05170576823359711,-1.1706153727392656,76.63895001603979,117470.5731912209,3.2841837197791888,76.63825906711625,1456.1368771379525,0.05641165948976398,0.0,0.0042463533848459915
S2,133,1,0,77.15941915414814,77.18740857503596,0.27772121057671034,0.07712907080419348,76.68029394870369,77.58191509697568,0.9016211482719854,0.475383382479194,-0.21100305069346187,-1.2349986840582035,77.15991895586934,119073.06186552653,3.284183719779189,77.15941915414814,1466.0572785601232,0.047965484581543885,0.0,0.0035993170195058404
S2,134,1,0,77.52198589775227,77.60335696184092,0.14529362310663105,0.021110236915451754,77.2106933044928,77.66484590703196,0.45415260253915335,0.22759027762319306,-0.7633306644996936,-0.807777501283049,77.52212205408348,120193.58815536433,2.5609640474436812,77.52198589775227,1473.001948349283,0.023354469977240847,0.0,0.0018742247302367392
S2,135,1,0,77.66347729915779,77.66683001764083,0.02431971776545521,0.0005914486721913979,77.62479882670615,77.71970023484286,0.09490140813670678,0.03187543695578654,0.2665487556964931,-0.39990133960338126,77.66348110692356,120632.32595290945,2.8709505944546683,77.66347729915779,1475.5972964523817,0.0038211292186459927,0.0,0.00031314227241945736
S2,136,1,0,77.70501126514114,77.71887134762565,0.02429793167886544,0.0005903894838708127,77.6688141282497,77.74060384030538,0.07178971205567564,0.044183002220734124,-0.1651216299747386,-1.6032927075329,77.70501506405616,120761.3873221039,2.6282129458410015,77.70501126514114,1476.406051563054,0.0034644017886547754,0.0,0.00031269452617357273
S2,137,1,0,77.73931954213177,77.72776601595737,0.027913442206376562,0.0007791602558087243,77.71572762832962,77.81957660587763,0.10384897754801159,0.022642643569170673,1.5971128507337569,1.613250661624468,77.73932455349689,120868.05164067846,2.395461844238322,77.73931954213177,1477.0090904391388,0.0031062203500138237,0.0,0.0003590646582807884
S2,138,1,0,77.86828256441181,77.83241015126478,0.13463625695404519,0.01812692168659568,77.71572762832962,78.11863252821276,0.40290489988313993,0.23024058772462297,0.4991904811698696,-1.1647076392739848,77.86839895909488,121269.75112905535,3.0464393446710156,77.86828256441181,1479.4483339861906,0.022770508816286075,0.0,0.0017290256381688593
S2,139,1,0,78.09336519329085,78.12917452132223,0.1285672623306811,0.01652954094320617,77.84524369665195,78.2432422456024,0.3979985489504543,0.213467368129443,-0.5537365236144483,-1.0588603988832073,78.0934710251352,121971.80433507262,3.0464393446710156,78.09336519329085,1483.8230608946894,0.021705462729877025,0.0,0.0016463275979010643
