subject_id,window_index,original_label,stress_label,E4_EDA_value_mean,E4_EDA_value_median,E4_EDA_value_std,E4_EDA_value_variance,E4_EDA_value_min,E4_EDA_value_max,E4_EDA_value_range,E4_EDA_value_iqr,E4_EDA_value_skewness,E4_EDA_value_kurtosis,E4_EDA_value_rms,E4_EDA_value_energy,E4_EDA_value_entropy,E4_EDA_value_mav,E4_EDA_value_auc,E4_EDA_value_slope,E4_EDA_value_zero_crossing_rate,E4_EDA_value_cv
S2,122,1,0,1.6127980499999999,1.6155529999999998,0.04853889805349417,0.0023560246242475004,1.53547,1.693073,0.15760300000000016,0.08456774999999994,0.0719747334565077,-1.3521954793990099,1.6135282999402427,52.069471494161,2.946439344671016,1.6127980499999999,30.6621905,-0.007197581203007519,0.0,0.030096079328403313
S2,123,1,0,1.5500129,1.5425170000000001,0.0257649593574296,0.000663833130689999,1.521375,1.616194,0.09481899999999999,0.03395499999999996,0.9273170887645001,0.06510912509424394,1.5502270231476099,48.064076465941994,2.808694969562842,1.5500129,29.4436465,-0.003430703759398494,0.0,0.016622416082749763
S2,124,1,0,1.5174029499999997,1.5188125000000001,0.014422221304206244,0.00020800046734750045,1.49703,1.547002,0.049971999999999905,0.025947249999999977,0.20857340431670685,-1.0582024660664864,1.5174714867621237,46.054394262721004,3.1841837197791887,1.5174029499999997,28.826043,-0.0024046609022556407,0.0,0.009504542813895444
S2,125,1,0,1.4903027999999998,1.49703,0.01649333175741034,0.0002720299924600004,1.464996,1.51625,0.05125400000000013,0.027548499999999976,-0.15665583511129727,-1.3812549483671581,1.4903940638905873,44.425489313606,3.046439344671015,1.4903027999999998,28.315433,-0.002812198496240603,0.0,0.011067101100132364
S2,126,1,0,1.4618573,1.463715,0.016491262150302517,0.0002719617273100004,1.43937,1.49703,0.057660000000000045,0.02819000000000016,0.2616385497639804,-0.8967380282995099,1.4619503162866376,42.745974545812,3.065957320949175,1.4618573,27.768946,-0.0028141112781954907,0.0,0.011281034168179424
S2,127,1,0,1.4243784,1.437448,0.031102618850186857,0.0009673728993399988,1.341989,1.462434,0.12044499999999991,0.034596249999999884,-1.097412409928364,0.48677678220479104,1.4247179367460423,40.596423985718,2.708694969562842,1.4243784,27.0853565,-0.00491916541353383,0.0,0.021835924253124632
S2,128,1,0,1.3272534,1.3310975,0.07862777949834274,0.006182327708840006,1.224106,1.435526,0.21142000000000016,0.15952600000000006,0.020933540260029786,-1.7019884622764871,1.3295803531642605,35.355678310407995,2.8659573209491747,1.3272534,25.2062825,-0.012641831578947375,0.0,0.05924097048712984
S2,129,1,0,1.2421089,1.2388415,0.04107156887909203,0.0016868737701900012,1.133132,1.320206,0.18707399999999996,0.03523675000000015,-0.9316326209812418,1.368234977953521,1.2427877506756333,30.890427864588,2.6016094970590276,1.2421089,23.5399105,-0.0009836300751879673,0.0,0.033065996772981845
S2,130,1,0,1.2890056,1.29522,0.06932373277846483,0.004805779926339999,1.133132,1.371459,0.23832699999999996,0.11564025,-0.6731555940693584,-0.46841220842112463,1.2908683963742005,33.326824335154,2.9037016960573485,1.2890056,24.4823295,0.010631192481203009,0.0,0.053780784799123314
S2,131,1,0,1.25056565,1.2772809999999999,0.10085730260039427,0.010172195487827497,1.120318,1.371459,0.25114100000000006,0.203411,-0.07212337844663283,-1.8351170582236482,1.2546260958738864,31.481732808955005,2.5282129458410014,1.25056565,23.789769500000002,-0.014677492481203003,0.0,0.08064934663797481
