subject,window_index,label_original,stress_label
S2,0,0,
S2,1,0,
S2,2,0,
S2,3,0,
S2,4,0,
S2,5,0,
S2,6,0,
S2,7,0,
S2,8,0,
S2,9,0,
S2,10,0,
S2,11,0,
S2,12,0,
S2,13,0,
S2,14,0,
S2,15,0,
S2,16,0,
S2,17,0,
S2,18,0,
S2,19,0,
S2,20,0,
S2,21,0,
S2,22,0,
S2,23,0,
S2,24,0,
S2,25,0,
S2,26,0,
S2,27,0,
S2,28,0,
S2,29,0,
S2,30,0,
S2,31,0,
S2,32,0,
S2,33,0,
S2,34,0,
S2,35,0,
S2,36,0,
S2,37,0,
S2,38,0,
S2,39,0,
S2,40,0,
S2,41,0,
S2,42,0,
S2,43,0,
S2,44,0,
S2,45,0,
S2,46,0,
S2,47,0,
S2,48,0,
S2,49,0,
S2,50,0,
S2,51,0,
S2,52,0,
S2,53,0,
S2,54,0,
S2,55,0,
S2,56,0,
S2,57,0,
S2,58,0,
S2,59,0,
S2,60,0,
S2,61,0,
S2,62,0,
S2,63,0,
S2,64,0,
S2,65,0,
S2,66,0,
S2,67,0,
S2,68,0,
S2,69,0,
S2,70,0,
S2,71,0,
S2,72,0,
S2,73,0,
S2,74,0,
S2,75,0,
S2,76,0,
S2,77,0,
S2,78,0,
S2,79,0,
S2,80,0,
S2,81,0,
S2,82,0,
S2,83,0,
S2,84,0,
S2,85,0,
S2,86,0,
S2,87,0,
S2,88,0,
S2,89,0,
S2,90,0,
S2,91,0,
S2,92,0,
S2,93,0,
S2,94,0,
S2,95,0,
S2,96,0,
S2,97,0,
S2,98,0,
S2,99,0,
S2,100,0,
S2,101,0,
S2,102,0,
S2,103,0,
S2,104,0,
S2,105,0,
S2,106,0,
S2,107,0,
S2,108,0,
S2,109,0,
S2,110,0,
S2,111,0,
S2,112,0,
S2,113,0,
S2,114,0,
S2,115,0,
S2,116,0,
S2,117,0,
S2,118,0,
S2,119,0,
S2,120,0,
S2,121,0,
S2,122,1,0.0
S2,123,1,0.0
S2,124,1,0.0
S2,125,1,0.0
S2,126,1,0.0
S2,127,1,0.0
S2,128,1,0.0
S2,129,1,0.0
S2,130,1,0.0
S2,131,1,0.0
S2,132,1,0.0
S2,133,1,0.0
S2,134,1,0.0
S2,135,1,0.0
S2,136,1,0.0
S2,137,1,0.0
S2,138,1,0.0
S2,139,1,0.0
S2,140,1,0.0
S2,141,1,0.0
S2,142,1,0.0
S2,143,1,0.0
S2,144,1,0.0
S2,145,1,0.0
S2,146,1,0.0
S2,147,1,0.0
S2,148,1,0.0
S2,149,1,0.0
S2,150,1,0.0
S2,151,1,0.0
S2,152,1,0.0
S2,153,1,0.0
S2,154,1,0.0
S2,155,1,0.0
S2,156,1,0.0
S2,157,1,0.0
S2,158,1,0.0
S2,159,1,0.0
S2,160,1,0.0
S2,161,1,0.0
S2,162,1,0.0
S2,163,1,0.0
S2,164,1,0.0
S2,165,1,0.0
S2,166,1,0.0
S2,167,1,0.0
S2,168,1,0.0
S2,169,1,0.0
S2,170,1,0.0
S2,171,1,0.0
S2,172,1,0.0
S2,173,1,0.0
S2,174,1,0.0
S2,175,1,0.0
S2,176,1,0.0
S2,177,1,0.0
S2,178,1,0.0
S2,179,1,0.0
S2,180,1,0.0
S2,181,1,0.0
S2,182,1,0.0
S2,183,1,0.0
S2,184,1,0.0
S2,185,1,0.0
S2,186,1,0.0
S2,187,1,0.0
S2,188,1,0.0
S2,189,1,0.0
S2,190,1,0.0
S2,191,1,0.0
S2,192,1,0.0
S2,193,1,0.0
S2,194,1,0.0
S2,195,1,0.0
S2,196,1,0.0
S2,197,1,0.0
S2,198,1,0.0
S2,199,1,0.0
S2,200,1,0.0
S2,201,1,0.0
S2,202,1,0.0
S2,203,1,0.0
S2,204,1,0.0
S2,205,1,0.0
S2,206,1,0.0
S2,207,1,0.0
S2,208,1,0.0
S2,209,1,0.0
S2,210,1,0.0
S2,211,1,0.0
S2,212,1,0.0
S2,213,1,0.0
S2,214,1,0.0
S2,215,1,0.0
S2,216,1,0.0
S2,217,1,0.0
S2,218,1,0.0
S2,219,1,0.0
S2,220,1,0.0
S2,221,1,0.0
S2,222,1,0.0
S2,223,1,0.0
S2,224,1,0.0
S2,225,1,0.0
S2,226,1,0.0
S2,227,1,0.0
S2,228,1,0.0
S2,229,1,0.0
S2,230,1,0.0
S2,231,1,0.0
S2,232,1,0.0
S2,233,1,0.0
S2,234,1,0.0
S2,235,1,0.0
S2,236,1,0.0
S2,237,1,0.0
S2,238,1,0.0
S2,239,1,0.0
S2,240,1,0.0
S2,241,1,0.0
S2,242,1,0.0
S2,243,1,0.0
S2,244,1,0.0
S2,245,1,0.0
S2,246,1,0.0
S2,247,1,0.0
S2,248,1,0.0
S2,249,1,0.0
S2,250,1,0.0
S2,251,1,0.0
S2,252,1,0.0
S2,253,1,0.0
S2,254,1,0.0
S2,255,1,0.0
S2,256,1,0.0
S2,257,1,0.0
S2,258,1,0.0
S2,259,1,0.0
S2,260,1,0.0
S2,261,1,0.0
S2,262,1,0.0
S2,263,1,0.0
S2,264,1,0.0
S2,265,1,0.0
S2,266,1,0.0
S2,267,1,0.0
S2,268,1,0.0
S2,269,1,0.0
S2,270,1,0.0
S2,271,1,0.0
S2,272,1,0.0
S2,273,1,0.0
S2,274,1,0.0
S2,275,1,0.0
S2,276,1,0.0
S2,277,1,0.0
S2,278,1,0.0
S2,279,1,0.0
S2,280,1,0.0
S2,281,1,0.0
S2,282,1,0.0
S2,283,1,0.0
S2,284,1,0.0
S2,285,1,0.0
S2,286,1,0.0
S2,287,1,0.0
S2,288,1,0.0
S2,289,1,0.0
S2,290,1,0.0
S2,291,1,0.0
S2,292,1,0.0
S2,293,1,0.0
S2,294,1,0.0
S2,295,1,0.0
S2,296,1,0.0
