subject_id,window_index,original_label,stress_label,E4_IBI_value_mean,E4_IBI_value_median,E4_IBI_value_std,E4_IBI_value_variance,E4_IBI_value_min,E4_IBI_value_max,E4_IBI_value_range,E4_IBI_value_iqr,E4_IBI_value_skewness,E4_IBI_value_kurtosis,E4_IBI_value_rms,E4_IBI_value_energy,E4_IBI_value_entropy,E4_IBI_value_mav,E4_IBI_value_auc,E4_IBI_value_slope,E4_IBI_value_zero_crossing_rate,E4_IBI_value_cv
S2,122,1,0,0.8189249914423969,0.8189249914423969,0.0037042820564161237,1.3721705553486466e-05,0.8128221536304062,0.8250278292543876,0.012205675623981338,0.0061028378119907245,-4.383160501220118e-14,-1.206015037593993,0.8189333692764529,13.413037266289665,3.321928094887362,0.8189249914423969,15.559574837405542,0.0006424039802095459,0.0,0.0045233471870136256
S2,123,1,0,0.8232988408166124,0.8234218193038637,0.0028482938893734985,8.11277808024241e-06,0.8180960116859803,0.8279277703400704,0.009831758654090028,0.004730225200182958,-0.05134025901813222,-1.109347218829133,0.8233037677965876,13.556581881361152,3.208694969562842,0.8232988408166124,15.647305713773004,0.00014213347668141883,0.0,0.003459611198466327
S2,124,1,0,0.8158708737281308,0.8171128358205714,0.009736256589674634,9.479469237998273e-05,0.7984324943778011,0.8279277703400704,0.029495275962269307,0.01797036447907463,-0.31799381057969145,-1.2947467189525987,0.8159289658360485,13.31480154580567,3.0464393446710156,0.8158708737281308,15.505366110756418,-0.0016479190791703453,0.0,0.011933575401686672
S2,125,1,0,0.7974493185123921,0.7974493185123921,0.011338537209398643,0.0001285624260489176,0.7787689770696214,0.8161296599551624,0.03736068288554095,0.01868034144277031,-3.455014052633487e-14,-1.2060150375939824,0.7975299229633501,12.721079560438545,3.321928094887362,0.7974493185123921,15.151537051735447,-0.0019663517308179516,0.0,0.014218505108951882
S2,126,1,0,0.7760361056845971,0.7777858012042125,0.014363847172462583,0.00020632010559386136,0.7431213798870839,0.7964661426469831,0.05334476275989919,0.01868034144277053,-0.6281855782573901,-0.34034120786439326,0.7761690263284855,12.048767148634182,3.170950594454669,0.7760361056845971,14.750928352424909,-0.0024233860380032542,0.0,0.01850925113824595
S2,127,1,0,0.7411870578198244,0.7532215947264731,0.0344830965326383,0.0011890839464792516,0.6527582827895866,0.7768026253388035,0.12404434254921692,0.03826363986728687,-1.1306680998756335,0.2384608852554857,0.7419887725741455,11.010946772521741,2.7086949695628424,0.7411870578198244,14.09027565046921,-0.00358938893924746,0.0,0.046524148214445504
S2,128,1,0,0.734414196831615,0.7382871030849987,0.036253348038733174,0.0013143052440175186,0.6527582827895866,0.7911167663715537,0.13835848358196712,0.06292119666738571,-0.487279888003542,-0.6583054115837008,0.7353084507550852,10.813570355036873,3.1464393446710153,0.734414196831615,13.970628273622754,0.0020536835901053953,0.0,0.049363626404740193
S2,129,1,0,0.717697525099171,0.7116516402075634,0.04199305229821433,0.0017634164413205641,0.671906,0.7911167663715537,0.1192107663715537,0.093754,0.2892402191547695,-1.4188711260168927,0.7189249988523112,10.337063079495913,2.5261207468426803,0.717697525099171,13.654061714164659,-0.006466028130430179,0.0,0.05851079435227502
S2,130,1,0,0.7218834518652343,0.6974580072848706,0.06085675298975923,0.0037035443844565695,0.671906,0.8575893254634084,0.18568332546340838,0.06847416440349463,1.155111314441554,0.030656924728741153,0.7244441058227491,10.49638524922645,2.4577174691301487,0.7218834518652343,13.64905677008217,0.007676492808496898,0.0,0.08430274005106347
S2,131,1,0,0.785695655268748,0.7974472484673134,0.05889727245792163,0.0034688887029826537,0.6788541856905139,0.8575893254634084,0.17873513977289446,0.09869337711449089,-0.3961201784104966,-1.1523807377486306,0.7879000897392827,12.415731028223396,2.746439344671016,0.785695655268748,15.001346884417266,0.006107070531089908,0.0,0.07496194240475437
S2,132,1,0,0.7903535105867172,0.781699611111479,0.035987732279597506,0.0012951168746279842,0.7411122924788262,0.8572450717675985,0.1161327792887723,0.052974491159562986,0.47210242629062027,-0.9722805027071288,0.7911724139347732,12.519075771427524,3.046439344671015,0.7903535105867172,15.006981365343215,-0.00407590285786957,0.0,0.04553371598600491
S2,133,1,0,0.7785295601209621,0.781286,0.017548795593340594,0.00030796022677685025,0.7411122924788262,0.8123054510016571,0.07119315852283092,0.015778905672315657,-0.4325435779710526,-0.018805536445953397,0.7787273182628919,12.128324724178306,2.7016094970590276,0.7785295601209621,14.797900710999953,0.0010675376079098747,0.0,0.022540949621250084
S2,134,1,0,0.7864664578733326,0.781286,0.011616350338349863,0.00013493959518328096,0.7672291028446051,0.8123054510016571,0.04507634815705197,0.013906114455738638,0.5413568991478067,-0.45917133635520013,0.7865522417201605,12.373288579100194,2.8709505944546683,0.7864664578733326,14.935750185953435,-4.854045429684343e-05,0.0,0.014770306123113492
S2,135,1,0,0.7793649074148943,0.779699265388634,0.017098347314057342,0.0002923534808721319,0.7451822556618791,0.8120736068073291,0.06689135114544997,0.022263993759193745,0.016167910993998634,-0.5584435669729162,0.779552443643594,12.154040247813976,3.208694969562842,0.7793649074148943,14.831092469044643,-0.0009781155061984804,0.0,0.021938821149609513
S2,136,1,0,0.7383817244570896,0.7470450210820876,0.044457386523755506,0.0019764592165225974,0.6619740486104303,0.8120736068073291,0.1500995581968988,0.05982281460112748,-0.32893368851773497,-0.9314377791678536,0.7397188859484041,10.943680604574961,3.1464393446710153,0.7383817244570896,14.018848506981472,-0.006100204020922597,0.0,0.060209218418080045
S2,137,1,0,0.7108368774417552,0.7165920300518418,0.023863659696712083,0.0005694742541204807,0.6619740486104303,0.7489077865022962,0.08693373789186587,0.01256171319249988,-0.8278671631442365,-0.04377273606837395,0.7112373307028149,10.117170811705305,2.5841837197791886,0.7108368774417552,13.503195640542105,0.00110839765253996,0.0,0.033571217889813876
S2,138,1,0,0.7156018719472729,0.7148827358959157,0.0048532129388379084,2.355367582970369e-05,0.7094699710688165,0.7303827503373831,0.020912779268566606,0.005412764827099181,1.347657511069468,2.011942431268043,0.7156183290066505,10.242191856205414,2.6464393446710153,0.7156018719472729,13.597399948003272,-0.0007465262858926509,0.0,0.0067820014579217085
S2,139,1,0,0.7091850887094954,0.7091850887094955,0.0032854236409870885,1.0794008500756856e-05,0.7037723238823962,0.7145978535365947,0.010825529654198474,0.005412764827099181,6.674660824046442e-14,-1.2060150375939969,0.7091926988177442,10.059085681127911,3.321928094887362,0.7091850887094954,13.474516685480413,-0.0005697647186420276,0.0,0.004632674450284306
S2,140,1,0,0.7229174558174566,0.7074757945535693,0.026304481680686293,0.0006919257564895608,0.703157,0.7788140682092101,0.07565706820921003,0.03708351030469759,1.0531653703659285,-0.5956780257755625,0.7233958623617319,10.466031473641477,1.8166422780956524,0.7229174558174566,13.71449197906944,0.0036385973034881447,0.0,0.036386563180912344
