subject_id,window_index,original_label,stress_label,E4_EDA_value_mean,E4_EDA_value_median,E4_EDA_value_std,E4_EDA_value_variance,E4_EDA_value_min,E4_EDA_value_max,E4_EDA_value_range,E4_EDA_value_iqr,E4_EDA_value_skewness,E4_EDA_value_kurtosis,E4_EDA_value_rms,E4_EDA_value_energy,E4_EDA_value_entropy,E4_EDA_value_mav,E4_EDA_value_auc,E4_EDA_value_slope,E4_EDA_value_zero_crossing_rate,E4_EDA_value_cv
S2,122,1,0,1.613402345469345,1.6064907061457943,0.047642415184618654,0.0022697997246235824,1.5477880635554961,1.6862630563842012,0.138474992828705,0.09006137775220413,0.1329573500163982,-1.4858920356687273,1.6141056124338973,52.10673856181213,3.0841837197791886,1.613402345469345,30.667022288089985,-0.00735390338710501,0.0,0.029529159492302146
S2,123,1,0,1.5499326409529526,1.5469555949246483,0.02351107760012789,0.0005527707699192354,1.520568944773937,1.5945517345848015,0.07398278981086448,0.034527433068425095,0.542904594794383,-0.9604838200287471,1.550110951597115,48.05687924522626,2.8282129458410017,1.5499326409529526,29.44296043338239,-0.0034128705283630726,0.0,0.015169096371615518
S2,124,1,0,1.517428516464944,1.5185121813080928,0.01420888762982228,0.0002018924876769166,1.4978793913106023,1.5461231262938004,0.04824373498319812,0.02515220148920827,0.19504574821512247,-1.1080892438364625,1.517495039553236,46.05582390137356,3.065957320949175,1.517428516464944,28.826569070496674,-0.002378980575376974,0.0,0.00936379373107065
S2,125,1,0,1.4903159481312394,1.4960596049753534,0.01645898839120608,0.0002708982988618565,1.4646536382773765,1.516455417842249,0.05180177956487242,0.027262730420671177,-0.1578092742353925,-1.3724717497983079,1.49040683155747,44.42625047106353,3.1464393446710157,1.4903159481312394,28.315764434564976,-0.002813508839982765,0.0,0.011043959109371804
S2,126,1,0,1.4615404141988522,1.4634397188095436,0.016715182906734936,0.00027939733960560375,1.4343399856901877,1.4942398186401045,0.05989983294991674,0.028238715968829542,0.14330497506722378,-0.9972557107101601,1.4616359942462274,42.727595593523155,3.065957320949175,1.4615404141988522,27.766518381811895,-0.002872440699520106,0.0,0.011436688814313365
S2,127,1,0,1.4245472455127337,1.4326893657861177,0.030090536777933663,0.0009054404035841784,1.3469326797417815,1.4622257993417107,0.11529311959992916,0.03563781665722576,-1.0603317833572234,0.3826088421479952,1.424865009431245,40.60480590203003,2.8332062193464953,1.4245472455127337,27.086365670712933,-0.004865393319329166,0.0,0.021122877372244157
S2,128,1,0,1.3275201240926442,1.3320522834089688,0.07863654597193818,0.006183706362396747,1.2286346990583312,1.4310387458820477,0.2024040468237165,0.16599210141116805,0.02800300289610238,-1.7384212430644097,1.329847128896155,35.36986772466694,2.808694969562842,1.3275201240926442,25.203518134850217,-0.012715625636174477,0.0,0.05923567149363255
S2,129,1,0,1.2417778056063085,1.244284417065155,0.038303805298234496,0.0014671815003250571,1.1496057632563499,1.3171718870761562,0.1675661238198063,0.031109654596551906,-0.7742658498660941,0.8270502489908771,1.2423684236154524,30.86958599993488,2.5016094970590275,1.2417778056063085,23.535904436701973,-0.000979782297318902,0.0,0.030845941299081553
S2,130,1,0,1.288539555325562,1.2956708857565393,0.06790946464756181,0.004611695388718448,1.1496057632563499,1.3700142780057358,0.22040851474938594,0.10271590907561068,-0.5657452049572319,-0.7632422768653226,1.2903278192100316,33.29891762054632,2.908694969562842,1.288539555325562,24.47966816215056,0.010484307821817527,0.0,0.05270266199193538
S2,131,1,0,1.2511259709409333,1.2807975160137226,0.09992590651705109,0.009985186793254433,1.1206972077281365,1.3700142780057358,0.2493170702775993,0.1944774797214459,-0.0878183411724377,-1.8164340793188352,1.255110107502982,31.50602763912294,2.3282129458410012,1.2511259709409333,23.787224139959726,-0.014594959134814617,0.0,0.07986878127220066
