subject_id,window_index,original_label,stress_label,RB_EMG_value_mean,RB_EMG_value_median,RB_EMG_value_std,RB_EMG_value_variance,RB_EMG_value_min,RB_EMG_value_max,RB_EMG_value_range,RB_EMG_value_iqr,RB_EMG_value_skewness,RB_EMG_value_kurtosis,RB_EMG_value_rms,RB_EMG_value_energy,RB_EMG_value_entropy,RB_EMG_value_mav,RB_EMG_value_auc,RB_EMG_value_slope,RB_EMG_value_zero_crossing_rate,RB_EMG_value_cv
S2,122,1,0,-0.0027436026622791954,-0.0027949590965249543,0.00018521999545945388,3.4306446718000117e-08,-0.0030560312083167673,-0.0024062197749434235,0.0006498114333733439,0.0002735906787868312,0.3940970449698894,-0.9597002451852821,0.002749847634903339,0.0001512332403036697,3.1037016960573482,0.0027436026622791954,-0.052180208572209334,3.983599238804115e-06,0.0,0.0675097739209751
S2,123,1,0,-0.0027313443056140906,-0.0027189790580776727,0.000227762489574124,5.187575165700295e-08,-0.0033033801351277903,-0.0024185793770522173,0.0008848007580755731,0.00029804408892785935,-0.707385902249933,0.06792623299761003,0.002740824231406954,0.00015024234934935042,2.841446071165522,0.0027313443056140906,-0.051831353628234114,-4.678243161051696e-06,0.0,0.08338842126420087
S2,124,1,0,-0.0026497523624348664,-0.0026730430176911202,0.0002596684203608434,6.742768853269568e-08,-0.0033033801351277903,-0.0021593086182173514,0.001144071516910439,0.00028832297780085605,-0.5091056365725755,0.37002440446179685,0.002662445355450859,0.00014177230541523704,2.760964047443681,0.0026497523624348664,-0.050225388436275255,1.0368067665500923e-05,0.0,0.09799724081469757
S2,125,1,0,-0.0026491199211648767,-0.002673652543883503,0.00024660120591811583,6.081215476026897e-08,-0.00324547975847725,-0.0021593086182173514,0.0010861711402598987,0.00039790399135198945,-0.15501691890394226,0.004366855101767708,0.002660572966763527,0.00014157297022945748,2.765957320949175,0.0026491199211648767,-0.05046920950748357,-2.282119720920494e-05,0.0,0.09308797383913063
S2,126,1,0,-0.0026571340915736747,-0.0026260798949161003,0.00022504995582672607,5.064748261761135e-08,-0.00324547975847725,-0.0022690892518807257,0.0009763905065965244,0.00036445804510632385,-0.6161104929590581,0.24859785549268532,0.002666647532618563,0.00014222018126441337,2.765957320949175,0.0026571340915736747,-0.0503455349917392,5.29580072971709e-06,0.0,0.08469649933754052
S2,127,1,0,-0.0025563561466877176,-0.00256462053660921,0.0003089665300828316,9.546031671142528e-08,-0.003352992467515638,-0.0019975364229833986,0.0013554560445322395,0.0002384743739812516,-0.2741266002999324,0.6969556887761756,0.002574959624036754,0.00013260834130839004,2.5709505944546684,0.0025563561466877176,-0.048682566093655344,-6.650727362248921e-06,0.0,0.12086208351021863
S2,128,1,0,-0.0025513405856678307,-0.0025582103740605855,0.00034801785960074605,1.2111643060108458e-07,-0.003352992467515638,-0.0019975364229833986,0.0013554560445322395,0.000412920372903441,-0.4332802117699373,-0.1434743514944814,0.002574967031765058,0.0001326091042935391,2.870950594454669,0.0025513405856678307,-0.04880118776774986,-2.7686081328675107e-06,0.0,0.13640588071844983
S2,129,1,0,-0.002575347884228023,-0.0025082741752501005,0.0003939982019017109,1.5523458310178135e-07,-0.0031779855840748947,-0.0016266524825260676,0.001551333101548827,0.0005564885652384437,0.2989758149228247,-0.33457991766883666,0.002605312132528372,0.0001357530261579907,2.765957320949175,0.002575347884228023,-0.04908820295373558,5.383358433026982e-06,0.0,0.15298834161964664
S2,130,1,0,-0.0025440362111622252,-0.0024597373525700283,0.00044883219356506624,2.014503379804291e-07,-0.003209222472312446,-0.0016266524825260676,0.0015825699897863783,0.0006828199869118928,0.2738273601768396,-0.8148359027547274,0.002583325488916385,0.00013347141163370157,2.765957320949175,0.0025440362111622252,-0.048741862000812354,9.203096361901702e-06,0.0,0.1764252378153141
S2,131,1,0,-0.0025138427070497955,-0.0024400600166246504,0.00036439715000503354,1.3278528293179093e-07,-0.003209222472312446,-0.0017302806106448754,0.0014789418616675705,0.0005527442773760128,0.06362425359368509,-0.6031040498628437,0.0025401162254352133,0.0001290438087743847,3.028212945841001,0.0025138427070497955,-0.04773811423170528,-8.187912144529165e-06,0.0,0.14495622537683914
S2,132,1,0,-0.00267004516330003,-0.0027501678008577607,0.00033506332874155316,1.1226743426737014e-07,-0.0032813933807497348,-0.002004164517706736,0.0012772288630429987,0.0004538264783262775,0.11122997082415301,-0.6199509823474987,0.002690986549265762,0.00014482817216658506,2.7709505944546686,0.00267004516330003,-0.05074589208195589,-1.9710066302429244e-05,0.0,0.12548976075274818
S2,133,1,0,-0.0024913187642939512,-0.0026974314437286885,0.0006757092258776089,4.565829579361174e-07,-0.0035540536091698293,-0.000592415804316397,0.002961637804853432,0.0005681619535280241,1.0635374092057088,1.1363245133028617,0.002581327593169696,0.00013326504286518512,2.484183719779189,0.0024913187642939512,-0.047374470677448384,4.881179256843915e-05,0.0,0.2712255194164635
S2,134,1,0,-0.002310720431422736,-0.002253416589655743,0.000672927695127387,4.5283168286945753e-07,-0.0035540536091698293,-0.000592415804316397,0.002961637804853432,0.00081833762972422,0.44826733018978737,0.3321261670850717,0.00240671157288611,0.00011584521190127867,2.9219280948873623,0.002310720431422736,-0.04310511435588995,-2.410508635660941e-05,0.0,0.2912198663137531
