subject_id,window_index,original_label,stress_label,RB_ECG_value_mean,RB_ECG_value_median,RB_ECG_value_std,RB_ECG_value_variance,RB_ECG_value_min,RB_ECG_value_max,RB_ECG_value_range,RB_ECG_value_iqr,RB_ECG_value_skewness,RB_ECG_value_kurtosis,RB_ECG_value_rms,RB_ECG_value_energy,RB_ECG_value_entropy,RB_ECG_value_mav,RB_ECG_value_auc,RB_ECG_value_slope,RB_ECG_value_zero_crossing_rate,RB_ECG_value_cv
S2,122,1,0,0.020737694357523196,0.029952029400591586,0.05811997344670608,0.00337793131344582,-0.08910799944683778,0.10366722911938013,0.19277522856621793,0.08848329390917797,-0.33763192468600234,-0.9155123630129856,0.06170885901320708,0.07615966561423737,3.0464393446710156,0.05386743511012966,0.3919651679728066,-0.004262022332291197,0.47368421052631576,2.8026246527074203
S2,123,1,0,0.006213268526717055,0.0093623475669705,0.06226658913306352,0.0038771281222657445,-0.08940760592927255,0.11119197777203683,0.20059958370130937,0.09775064176395001,0.05457215242935261,-1.1849545417371068,0.06257581663910457,0.07831465656101673,3.1464393446710153,0.05429207752337887,0.05373598317649806,-0.0007871685325496192,0.631578947368421,10.02155127616281
S2,124,1,0,0.006986779219262056,-0.0013854168833621113,0.061859770910257204,0.0038266312570695037,-0.08940760592927255,0.11119197777203683,0.20059958370130937,0.10056402952272497,0.11680750511120015,-1.2886014476873142,0.062253082983320725,0.07750892681856432,3.2086949695628424,0.05391959521707938,0.07135403081175623,0.0009100744089419839,0.631578947368421,8.853832212089111
S2,125,1,0,-0.0008598369239703998,-0.007082454995216902,0.060634712180798134,0.0036765683212482297,-0.09529310737926769,0.09848518352281088,0.19377829090207857,0.09554708927332646,0.17805368041257433,-1.1285368658663937,0.06064080837838536,0.07354615281568104,3.084183719779189,0.052338162607518925,0.005238186881870978,0.0003050663280580423,0.6842105263157895,70.51885129660413
S2,126,1,0,0.0010027510258140881,0.0020262922693279816,0.06217331335191392,0.0038655208931552784,-0.09529310737926769,0.09921948352053915,0.19451259089980683,0.0887768979910753,0.03011242216092632,-1.062913616332171,0.06218139917029086,0.07733052805550097,3.108694969562842,0.051545593422533745,0.028171762983995784,0.002475489426342704,0.6842105263157895,62.00274220755668
S2,127,1,0,-0.00167149829715844,-0.01104106049822513,0.058952541440667985,0.0034754021423136763,-0.09514532856393586,0.09921948352053915,0.194364812084475,0.09444994226230168,0.2396132335152316,-1.0034822726965378,0.058976232915226794,0.0695639209774216,3.0464393446710156,0.04951876357393149,-0.0067442879280170676,-0.0012060863698175352,0.6842105263157895,35.26927998723526
S2,128,1,0,-0.004735168612467757,-0.026204538709596915,0.06827131812417091,0.004660972878411746,-0.09484083124573359,0.11026095283288824,0.20510178407862184,0.11627474391551479,0.4409946280402405,-1.276099795654681,0.06843533225023639,0.09366789400400491,2.708694969562842,0.06162312803110739,-0.027393392949814365,0.0005573938554509995,0.7368421052631579,14.41792757799832
S2,129,1,0,0.006292144368679009,0.010805917527869854,0.06495478291616968,0.004219123823686729,-0.08488009814728188,0.11026095283288824,0.19514105098017012,0.10647145773187058,-0.03041441829783035,-1.3254681417017093,0.06525883008791246,0.08517429808886055,2.790468570732828,0.057792458464432296,0.05864459728042318,-0.00031516215440574125,0.7368421052631579,10.32315520913683
S2,130,1,0,0.004663225825675054,0.012076985099027899,0.052351690098199524,0.002740699456137922,-0.08488009814728188,0.06757265825986265,0.15245275640714454,0.08281848605984235,-0.41040779250161563,-1.2333695569965564,0.052558968133318264,0.055248902624783304,2.6086949695628423,0.04638487389844975,0.07660128156137605,-0.0005056227286897961,0.6842105263157895,11.226496861884451
S2,131,1,0,-0.0021168376705893452,0.001160990966958469,0.05732198829505644,0.003285810342098588,-0.09486275833647938,0.10232165557489628,0.19718441391137564,0.09501010318310311,-0.032313334096431966,-1.1238385831571231,0.057361061215969615,0.06580582687644428,2.741446071165522,0.04833123885822767,-0.005567207944301288,0.00010611264575012377,0.6842105263157895,27.079066615012348
