subject_id,window_index,original_label,stress_label,RB_RESP_value_mean,RB_RESP_value_median,RB_RESP_value_std,RB_RESP_value_variance,RB_RESP_value_min,RB_RESP_value_max,RB_RESP_value_range,RB_RESP_value_iqr,RB_RESP_value_skewness,RB_RESP_value_kurtosis,RB_RESP_value_rms,RB_RESP_value_energy,RB_RESP_value_entropy,RB_RESP_value_mav,RB_RESP_value_auc,RB_RESP_value_slope,RB_RESP_value_zero_crossing_rate,RB_RESP_value_cv
S2,122,1,0,-0.4498290162658912,-0.7397610043998933,2.068152791520933,4.277255969075827,-3.3792620865762455,3.7779177120780587,7.157179798654305,3.270091195492021,0.2955764230903549,-1.0294317015479997,2.1165070547840292,89.59204225901132,3.1037016960573482,1.8378836885502907,-9.553729661543684,0.23396754846832624,0.2631578947368421,4.597642030051837
S2,123,1,0,1.2370689983345344,1.4324496630397023,1.5830049321923911,2.505904615345437,-1.8061452306502377,3.8275376794677958,5.633682910118034,1.9503568543957635,-0.24361634668921256,-0.7493467934816751,2.009040647171143,80.72488643971691,2.8464393446710154,1.6879260434836287,25.68287485079038,0.059415995566663715,0.21052631578947367,1.2796415837140775
S2,124,1,0,1.0819489394086228,1.7247068546252478,2.4021175667868957,5.770168804666197,-4.73355841374527,3.9229143557567303,8.656472769502,2.5733799138017925,-1.0074188172697331,0.08807275795118397,2.6345364510960256,138.81564624307282,2.9037016960573485,2.314152379574275,18.54756421776286,-0.04493976604544429,0.10526315789473684,2.2201764605452246
S2,125,1,0,-0.5000137897913102,-0.8314578694274757,2.764811528632362,7.6441827888584175,-5.78743343922411,3.9229143557567303,9.71034779498084,4.225397589703768,-0.0960211817386563,-0.9702469806100282,2.8096612925475353,157.88393157679775,3.184183719779189,2.3883745981297935,-6.437934569887248,-0.11645779776935866,0.10526315789473684,5.5294705567746565
S2,126,1,0,-1.2343643148405623,-0.8314578694274757,3.636624760606195,13.225039649454066,-8.571839546520483,3.5194998994409827,12.091339445961466,5.02101151158582,-0.5404568197253194,-0.760896763648276,3.840402962086905,294.9738982241175,3.1464393446710153,3.020864208995225,-26.601480999965773,0.12206143179867879,0.10526315789473684,2.9461518912071942
S2,127,1,0,-1.6748950363197472,-1.3115752114947183,3.8428965388993195,14.767853808684368,-8.571839546520483,3.5194998994409827,12.091339445961466,6.725371510563955,-0.2323001015171696,-1.2605869032170318,4.192031391983234,351.4625438274578,3.1841837197791887,3.4710987385822163,-30.50403185113949,0.13784399202562755,0.15789473684210525,2.2944103693466844
S2,128,1,0,0.6762953150725795,1.7398696291270261,3.636554479146561,13.224528479800915,-5.786228985162793,6.444425194583892,12.230654179746685,5.449135413615714,-0.39919374142232794,-0.9750560232954415,3.698905761571932,273.6380766598007,3.1464393446710153,3.23092996764912,10.286241690482573,0.5207639058099062,0.10526315789473684,5.377169408243334
S2,129,1,0,2.1080893748042415,2.1175185546681417,2.4874320525774354,6.187318216189594,-3.1998517031864293,6.444425194583892,9.644276897770322,3.263827941116319,-0.22491375230998045,-0.6007729137644473,3.260576487118824,212.6271805670426,3.0841837197791886,2.6764995826962505,42.60279437612219,-0.2958948384744026,0.05263157894736842,1.1799462026169645
S2,130,1,0,-0.09331840030779616,0.08853733562852627,2.288459328968409,5.23704610034254,-3.8051595684517303,5.516823859891399,9.32198342834313,2.676744183875452,0.47803342352813105,-0.04468459959974469,2.290361199500757,104.91508848357093,2.8709505944546687,1.8064695026838578,-3.4265915930194035,-0.17574540414456888,0.15789473684210525,24.523130716131906
S2,131,1,0,-0.26181601439642327,-1.111889325809034,2.5479746338781086,6.492174734886282,-3.8051595684517303,5.019887035371191,8.825046603822921,4.178597577599448,0.5325707349580538,-0.8719911400022928,2.5613907082443923,131.2144472056142,2.9841837197791885,2.2477180806587853,-1.9140226158416054,0.061738631062260504,0.21052631578947367,9.731928124229047
S2,132,1,0,1.0801751584305979,0.7692780051642404,2.90367689172299,8.431339491526085,-2.9007152786559454,6.474713830967457,9.375429109623402,4.912637864906705,0.38156851383507473,-0.916402529331497,3.0980829337538163,191.96235728833307,3.0086949695628418,2.4721160425668156,19.783775439465614,0.19872411354929279,0.15789473684210525,2.688153739752527
S2,133,1,0,-0.45274533109113724,0.5673412706480222,4.255402469848766,18.108450180394982,-7.948595368402625,6.474713830967457,14.423309199370081,4.545158489426944,-0.2484962743533806,-0.8142653830671698,4.279419179657421,366.26857030439595,2.728212945841001,3.4131496796335385,-9.174170980130414,-0.3040723426715657,0.15789473684210525,9.39910845594597
S2,134,1,0,-1.1764831071124449,-1.5952225331163268,3.843039048069901,14.768949124990012,-7.948595368402625,4.62454118294487,12.573136551347496,5.0513688130900185,-0.24939356251375858,-1.0250096408453129,4.0190871633134515,323.0612325262194,2.665957320949175,3.369560316689527,-27.653642677347,0.16188274369317057,0.21052631578947367,3.2665484313686743
S2,135,1,0,0.2857292436586735,0.8811873834892561,3.546646596076992,12.578702077464516,-5.85186533544507,4.944190131076478,10.796055466521548,5.946648274680262,-0.336458922899389,-1.2277830227499096,3.5581376137167986,253.20686556292551,2.8464393446710154,3.1825265344701656,6.686345167809281,-0.24254631932592222,0.15789473684210525,12.41261325114396
